UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,MALAY,NON MALAY BUMIPUTERA,CHINESE,INDIAN,OTHERS,TOTAL ELECTORS,,MALAY (%),NON MALAY BUMIPUTERA (%),CHINESE (%),INDIAN (%),OTHERS (%)
P.30_N.37,KELANTAN,P.30,JELI,N.37,PERGAU,"8,515",,21,33,25,"8,594",_,99.08,0.00,0.24,0.38,0.29
P.31_N.38,KELANTAN,P.31,KUALA KRAI,N.38,GUCHIL,"9,324",,"1,854",628,220,"12,026",_,77.53,0.00,15.42,5.22,1.83
P.31_N.39,KELANTAN,P.31,KUALA KRAI,N.39,MENGKEBANG,"12,405",,264,263,46,"12,978",_,95.58,0.00,2.03,2.03,0.35
P.31_N.40,KELANTAN,P.31,KUALA KRAI,N.40,MANEK URAI,"10,087",,17,11,12,"10,127",_,99.61,0.00,0.17,0.11,0.12
P.32_N.41,KELANTAN,P.32,GUA MUSANG,N.41,DABONG,"6,911",,5,66,4,"6,986",_,98.93,0.00,0.07,0.94,0.06
P.32_N.42,KELANTAN,P.32,GUA MUSANG,N.42,PALOH,"9,116",,4,2,44,"9,166",_,99.45,0.00,0.04,0.02,0.48
P.32_N.43,KELANTAN,P.32,GUA MUSANG,N.43,GALAS,"6,228",,"1,864",169,"2,727","10,988",_,56.68,0.00,16.96,1.54,24.82
P.33_N.1,TERENGGANU,P.33,BESUT,N.1,KUALA BESUT,"9,626",,104,4,11,"9,745",_,98.78,0.00,1.07,0.04,0.11
P.33_N.2,TERENGGANU,P.33,BESUT,N.2,KAMPUNG RAJA,"10,468",,69,28,56,"10,621",_,98.56,0.00,0.65,0.26,0.53
P.33_N.3,TERENGGANU,P.33,BESUT,N.3,JERTIH,"10,075",,540,34,28,"10,677",_,94.36,0.00,5.06,0.32,0.26
P.33_N.4,TERENGGANU,P.33,BESUT,N.4,HULU BESUT,"10,017",,105,10,7,"10,139",_,98.80,0.00,1.04,0.10,0.07
P.34_N.5,TERENGGANU,P.34,SETIU,N.5,JABI,"9,803",,58,2,31,"9,894",_,99.08,0.00,0.59,0.02,0.31
P.34_N.6,TERENGGANU,P.34,SETIU,N.6,PERMAISURI,"10,666",,102,3,16,"10,787",_,98.88,0.00,0.95,0.03,0.15
P.34_N.7,TERENGGANU,P.34,SETIU,N.7,LANGKAP,"8,920",,2,1,1,"8,924",_,99.96,0.00,0.02,0.01,0.01
P.34_N.8,TERENGGANU,P.34,SETIU,N.8,BATU RAKIT,"8,158",,40,0,20,"8,218",_,99.27,0.00,0.49,0.00,0.24
P.35_N.9,TERENGGANU,P.35,KUALA NERUS,N.9,TEPUH,"11,682",,106,10,1,"11,799",_,99.01,0.00,0.90,0.08,0.01
P.35_N.10,TERENGGANU,P.35,KUALA NERUS,N.10,TELUK PASU,"10,931",,4,2,0,"10,937",_,99.95,0.00,0.04,0.02,0.00
P.35_N.11,TERENGGANU,P.35,KUALA NERUS,N.11,SEBERANG TAKIR,"9,142",,17,27,32,"9,218",_,99.18,0.00,0.18,0.29,0.35
P.35_N.12,TERENGGANU,P.35,KUALA NERUS,N.12,BUKIT TUNGGAL,"8,255",,69,7,3,"8,334",_,99.05,0.00,0.83,0.08,0.04
P.36_N.13,TERENGGANU,P.36,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,"14,601",,64,13,1,"14,679",_,99.47,0.00,0.44,0.09,0.01
P.36_N.14,TERENGGANU,P.36,KUALA TERENGGANU,N.14,BANDAR,"10,155",,"6,378",213,82,"16,828",_,60.35,0.00,37.90,1.27,0.49
P.36_N.15,TERENGGANU,P.36,KUALA TERENGGANU,N.15,LADANG,"11,849",,"1,162",198,23,"13,232",_,89.55,0.00,8.78,1.50,0.17
P.36_N.16,TERENGGANU,P.36,KUALA TERENGGANU,N.16,BATU BURUK,"15,619",,160,79,7,"15,865",_,98.45,0.00,1.01,0.50,0.04
P.37_N.17,TERENGGANU,P.37,MARANG,N.17,ALUR LIMBAT,"13,017",,331,14,5,"13,367",_,97.38,0.00,2.48,0.10,0.04
P.37_N.18,TERENGGANU,P.37,MARANG,N.18,BUKIT PAYUNG,"11,280",,19,6,0,"11,305",_,99.78,0.00,0.17,0.05,0.00
P.37_N.19,TERENGGANU,P.37,MARANG,N.19,RU RENDANG,"13,459",,122,10,6,"13,597",_,98.99,0.00,0.90,0.07,0.04
P.37_N.20,TERENGGANU,P.37,MARANG,N.20,PENGKALAN BERANGAN,"12,961",,706,12,4,"13,683",_,94.72,0.00,5.16,0.09,0.03
P.38_N.21,TERENGGANU,P.38,HULU TERENGGANU,N.21,TELEMUNG,"7,767",,3,0,18,"7,788",_,99.73,0.00,0.04,0.00,0.23
P.38_N.22,TERENGGANU,P.38,HULU TERENGGANU,N.22,MANIR,"9,273",,75,5,3,"9,356",_,99.11,0.00,0.80,0.05,0.03
P.38_N.23,TERENGGANU,P.38,HULU TERENGGANU,N.23,KUALA BERANG,"9,109",,109,32,5,"9,255",_,98.42,0.00,1.18,0.35,0.05
P.38_N.24,TERENGGANU,P.38,HULU TERENGGANU,N.24,AJIL,"9,667",,107,7,2,"9,783",_,98.81,0.00,1.09,0.07,0.02
P.39_N.25,TERENGGANU,P.39,DUNGUN,N.25,BUKIT BESI,"7,377",,86,32,7,"7,502",_,98.33,0.00,1.15,0.43,0.09
P.39_N.26,TERENGGANU,P.39,DUNGUN,N.26,RANTAU ABANG,"9,603",,131,28,11,"9,773",_,98.26,0.00,1.34,0.29,0.11
P.39_N.27,TERENGGANU,P.39,DUNGUN,N.27,SURA,"10,735",,"1,449",171,9,"12,364",_,86.82,0.00,11.72,1.38,0.07
P.39_N.28,TERENGGANU,P.39,DUNGUN,N.28,PAKA,"10,394",,298,45,0,"10,737",_,96.81,0.00,2.78,0.42,0.00
P.40_N.29,TERENGGANU,P.40,KEMAMAN,N.29,KEMASIK,8732,,416,71,0,"9,219",_,94.72,0.00,4.51,0.77,0.00
P.40_N.30,TERENGGANU,P.40,KEMAMAN,N.30,KIJAL,8542,,202,64,0,"8,808",_,96.98,0.00,2.29,0.73,0.00
P.40_N.31,TERENGGANU,P.40,KEMAMAN,N.31,CUKAI,"11,810",,"2,940",230,13,"14,993",_,78.77,0.00,19.61,1.53,0.09
P.40_N.32,TERENGGANU,P.40,KEMAMAN,N.32,AIR PUTIH,"11,218",,459,239,6,"11,922",_,94.09,0.00,3.85,2.00,0.05
P.41_N.1,PULAU PINANG,P.41,KEPALA BATAS,N.1,PENAGA,"9,804",,"1,387",54,0,"11,245",_,87.19,0.00,12.33,0.48,0.00
P.41_N.2,PULAU PINANG,P.41,KEPALA BATAS,N.2,BERTAM,"6,699",,"3,322",973,0,"10,994",_,60.93,0.00,30.22,8.85,0.00
P.41_N.3,PULAU PINANG,P.41,KEPALA BATAS,N.3,PINANG TUNGGAL,"7,967",,"3,433",674,15,"12,089",_,65.90,0.00,28.40,5.58,0.12
P.42_N.4,PULAU PINANG,P.42,TASEK GELUGOR,N.4,PERMATANG BERANGAN,"9,072",,"1,422","1,014",0,"11,508",_,78.83,0.00,12.36,8.81,0.00
P.42_N.5,PULAU PINANG,P.42,TASEK GELUGOR,N.5,SUNGAI DUA,"9,751",,"1,260",123,0,"11,134",_,87.58,0.00,11.32,1.10,0.00
P.42_N.6,PULAU PINANG,P.42,TASEK GELUGOR,N.6,TELOK AYER TAWAR,"8,168",,"3,136","1,354",7,"12,665",_,64.49,0.00,24.76,10.69,0.06
P.43_N.7,PULAU PINANG,P.43,BAGAN,N.7,SUNGAI PUYU,"1,431",,"20,044","2,281",15,"23,771",_,6.02,0.00,84.32,9.60,0.06
