STATE,PARLIAMENT CODE,PARLIAMENT NAME,MALAY (%),CHINESE (%),INDIAN (%),OTHERS (%),IBAN (%),BIDAYUH (%),"KAYAN, KELABIT, KENYAH (%)"
SABAH,P.152,SILAM,,,,,,,
SABAH,P.153,SEMPORNA,,,,,,,
SARAWAK,P.154,MAS GADING,20.5,23.7,,,0.8,,
SARAWAK,P.155,BANDAR KUCHING,8.7,85.9,,1.9,3.5,,
SARAWAK,P.156,SANTUBONG,73.6,19.8,,1.6,4.9,,
SARAWAK,P.157,SAMARAHAN,76.7,11,,,12.4,,
SARAWAK,P.158,PADAWAN,9.79,46.86,,0.4,0.75,42.13,
SARAWAK,P.159,SERIAN,8,16.6,,,33.4,,
SARAWAK,P.160,SIMUNJAN,62.3,3.3,,,29.4,,
SARAWAK,P.161,BATANG LUPAR,20.6,4.7,,0.1,64.6,,
SARAWAK,P.162,LUBOK ANTU,1.4,8,,,90.6,,
SARAWAK,P.163,BETONG,47.7,6.9,,,45.3,,
SARAWAK,P.164,SARATOK,33,7.9,,,58.9,,
SARAWAK,P.165,PALOH,77.19,4,,,18.8,,
SARAWAK,P.166,SARIKEI,6.8,62.9,,,30.2,,
SARAWAK,P.167,SIBU,12.4,82.8,,,4.6,,
SARAWAK,P.168,RAJANG,9.3,20.5,,0.15,69.9,,
SARAWAK,P.169,MUKAH,57.6,8.7,,,33.7,,
SARAWAK,P.170,JULAU,0.4,2.9,,,96.6,,
SARAWAK,P.171,KANOWIT,2.2,16.1,,,81.6,,
SARAWAK,P.172,KAPIT,3.1,10.6,,,86.2,,
SARAWAK,P.173,ULU RAJANG,1.5,0.9,,,60.5,,37.08
SARAWAK,P.174,BINTULU,23,23.4,,,53.2,,
SARAWAK,P.175,LAMBIR,28.7,47.9,,2.53,20.8,,
SARAWAK,P.176,BARAM,5.7,11.8,,,11.7,,70.68
SARAWAK,P.177,BUKIT MAS,42.5,17.9,,,1,,38.59
