State,Parliamentary Code,Parliamentary Seat Name,DUN Code,DUN Name,Total Number of Electors (March 1967),Boundary Alteration,Name Alteration
PAHANG,P.61,RAUB,N.1,CAMERON HIGHLANDS,4954,NO,
PAHANG,P.61,RAUB,N.2,DONG,5897,YES,
PAHANG,P.61,RAUB,N.3,BANDAR RAUB,7078,NO,
PAHANG,P.61,RAUB,N.4,TERAS,5912,NO,
PAHANG,P.62,LIPIS,N.5,JELAI,5411,YES,
PAHANG,P.62,LIPIS,N.6,KUALA LIPIS,7240,YES,
PAHANG,P.62,LIPIS,N.7,TANJONG BESAR,6527,YES,
PAHANG,P.62,LIPIS,N.8,TEMBELING,5305,YES,
PAHANG,P.62,LIPIS,N.9,JERANTUT,6598,YES,
PAHANG,P.63,BENTONG,N.10,BUKIT TINGGI,4878,YES,
PAHANG,P.63,BENTONG,N.11,BANDAR BENTONG,8257,YES,
PAHANG,P.63,BENTONG,N.12,MENTEKAB,8182,YES,
PAHANG,P.63,BENTONG,N.13,MANCHIS,4466,YES,
PAHANG,P.64,TEMERLOH,N.14,JENDERAK,6811,YES,
PAHANG,P.64,TEMERLOH,N.15,SANGGANG,8145,YES,
PAHANG,P.64,TEMERLOH,N.16,TERIANG,7242,NO,
PAHANG,P.64,TEMERLOH,N.17,CHENOR,7715,YES,
PAHANG,P.65,KUANTAN,N.18,SUNGAI LEMBING,6471,NO,ULU KUANTAN (ORIGINAL)
PAHANG,P.65,KUANTAN,N.19,BESERAH,5140,YES,
PAHANG,P.65,KUANTAN,N.20,TANAH PUTEH,7436,YES,
PAHANG,P.65,KUANTAN,N.21,TELOK SISEK,6797,YES,
PAHANG,P.66,PEKAN,N.22,TASEK CHINI,5908,YES,
PAHANG,P.66,PEKAN,N.23,KUALA PAHANG,7578,YES,
PAHANG,P.66,PEKAN,N.24,ROMPIN,5685,NO,
SELANGOR,P.67,SABAK BERNAM,N.1,SABAK,12189,NO,
SELANGOR,P.67,SABAK BERNAM,N.2,SUNGAI BESAR,11578,YES,
SELANGOR,P.68,KUALA SELANGOR UTARA,N.3,SUNGAI LEMAN,9770,YES,
SELANGOR,P.68,KUALA SELANGOR UTARA,N.4,TANJONG KARANG,10289,YES,
SELANGOR,P.69,KUALA SELANGOR SELATAN,N.5,BUKIT MELAWATI,10787,YES,
SELANGOR,P.69,KUALA SELANGOR SELATAN,N.6,JERAM,10038,YES,
SELANGOR,P.70,ULU SELANGOR,N.7,KUALA KUBU,16228,YES,
SELANGOR,P.70,ULU SELANGOR,N.8,RAWANG,16821,YES,
SELANGOR,P.71,KELANG,N.9,SEMENTA,14021,YES,
SELANGOR,P.71,KELANG,N.10,KAMPONG JAWA,11963,YES,
SELANGOR,P.72,KOTA KELANG,N.11,TELOK GADONG,17684,YES,
SELANGOR,P.72,KOTA KELANG,N.12,BATU BELAH,17279,YES,
SELANGOR,P.73,PETALING JAYA,N.13,SUBANG,18381,YES,
SELANGOR,P.73,PETALING JAYA,N.14,LEMBAH PANTAI,18370,YES,
SELANGOR,P.74,KEPONG,N.15,JINJANG,17542,YES,
SELANGOR,P.74,KEPONG,N.16,TAMAN BUNGA,19451,YES,
SELANGOR,P.75,GOMBAK,N.17,BATU,17873,YES,
SELANGOR,P.75,GOMBAK,N.18,SETAPAK,16728,YES,
SELANGOR,P.76,AMPANG,N.19,KAMPONG BAHARU,18847,YES,
SELANGOR,P.76,AMPANG,N.20,KAMPONG PANDAN,15751,YES,
SELANGOR,P.77,BUKIT BINTANG,N.21,PUDU,19331,YES,
SELANGOR,P.77,BUKIT BINTANG,N.22,IMBI,18415,YES,
SELANGOR,P.78,SUNGAI BESI,N.23,CHERAS,19263,YES,
SELANGOR,P.78,SUNGAI BESI,N.24,SERDANG,17142,YES,
SELANGOR,P.79,ULU LANGAT,N.25,KAJANG,10699,YES,
SELANGOR,P.79,ULU LANGAT,N.26,SEMENYIH,10592,YES,
SELANGOR,P.80,KUALA LANGAT,N.27,MORIB,11295,YES,
SELANGOR,P.80,KUALA LANGAT,N.28,TELOK DATOK,10847,YES,
SELANGOR,P.81,SEPANG,N.29,DENGKIL,10048,YES,
SELANGOR,P.81,SEPANG,N.30,TANJONG SEPAT,10328,YES,
NEGERI SEMBILAN,P.82,JELEBU-JEMPOL,N.1,KUALA KELAWANG,6241,YES,
